Experiment_ID,K,Average_Top1_Score,Average_Retrieved_Score,Average_Lowest_Score,Difference_vs_K1,Difference_vs_K1_%
SS-001,1,0.464864225075756,0.464864225075756,0.464864225075756,0.0,0.0
SS-002,3,0.464864225075756,0.46480468562775956,0.46471052605594887,-5.9539447996415085e-05,-0.012807922138278617
SS-003,5,0.464864225075756,0.4647644866660974,0.46470249708130756,-9.97384096586007e-05,-0.02145538509493755
SS-004,10,0.464864225075756,0.4647334918737025,0.46470249708130756,-0.00013073320205347905,-0.028122878681871955
